repeticion_id,movimiento_real,movimiento_predicho,correcta
013_0227,013,013,1
002_0204,002,004,0
007_0131,007,007,1
010_0091,010,010,1
011_0191,011,011,1
000_0187,000,000,1
009_0016,009,009,1
013_0004,013,013,1
012_0140,012,012,1
005_0140,005,005,1
008_0122,008,008,1
005_0114,005,004,0
006_0115,006,006,1
005_0275,005,005,1
003_0027,003,003,1
006_0244,006,006,1
000_0097,000,000,1
005_0187,005,005,1
010_0183,010,010,1
005_0170,005,005,1
012_0164,012,012,1
010_0159,010,010,1
000_0129,000,000,1
006_0258,006,006,1
005_0055,005,005,1
009_0196,009,009,1
005_0029,005,005,1
012_0249,012,012,1
013_0085,013,013,1
001_0110,001,013,0
010_0014,010,010,1
004_0045,004,004,1
013_0014,013,007,0
011_0172,011,011,1
000_0035,000,000,1
007_0358,007,007,1
010_0303,010,010,1
005_0132,005,005,1
009_0303,009,009,1
006_0161,006,006,1
007_0317,007,013,0
003_0069,003,003,1
010_0185,010,010,1
010_0115,010,010,1
003_0104,003,003,1
013_0015,013,015,0
000_0061,000,000,1
008_0134,008,008,1
012_0136,012,012,1
002_0048,002,002,1
008_0245,008,008,1
006_0215,006,012,0
004_0122,004,004,1
006_0063,006,006,1
003_0135,003,010,0
012_0210,012,012,1
010_0135,010,010,1
010_0286,010,010,1
007_0311,007,007,1
001_0076,001,002,0
007_0117,007,007,1
009_0197,009,009,1
002_0069,002,002,1
003_0063,003,003,1
003_0139,003,005,0
007_0206,007,007,1
008_0096,008,001,0
007_0046,007,007,1
009_0054,009,009,1
004_0246,004,004,1
008_0097,008,001,0
013_0288,013,013,1
004_0256,004,004,1
004_0231,004,004,1
007_0375,007,007,1
000_0219,000,000,1
000_0071,000,000,1
012_0077,012,012,1
015_0011,015,015,1
005_0057,005,005,1
004_0206,004,004,1
008_0107,008,008,1
011_0235,011,011,1
015_0191,015,015,1
012_0148,012,012,1
000_0083,000,000,1
010_0046,010,010,1
015_0250,015,015,1
011_0137,011,011,1
003_0043,003,003,1
010_0106,010,010,1
005_0226,005,005,1
013_0091,013,013,1
012_0118,012,012,1
015_0223,015,015,1
011_0121,011,011,1
004_0260,004,004,1
006_0044,006,006,1
015_0063,015,011,0
002_0120,002,002,1
010_0151,010,010,1
002_0157,002,002,1
001_0096,001,001,1
007_0249,007,007,1
015_0035,015,015,1
013_0126,013,013,1
011_0124,011,011,1
001_0030,001,001,1
010_0268,010,010,1
013_0243,013,013,1
009_0177,009,008,0
008_0268,008,008,1
001_0081,001,002,0
004_0124,004,004,1
005_0265,005,005,1
015_0053,015,015,1
001_0127,001,010,0
009_0289,009,009,1
013_0130,013,013,1
011_0223,011,011,1
002_0253,002,002,1
008_0026,008,008,1
004_0066,004,004,1
000_0146,000,000,1
003_0175,003,003,1
012_0125,012,011,0
007_0072,007,007,1
008_0095,008,008,1
015_0200,015,015,1
002_0046,002,002,1
004_0253,004,004,1
008_0212,008,008,1
001_0104,001,001,1
003_0121,003,009,0
007_0080,007,007,1
011_0061,011,011,1
004_0188,004,004,1
015_0170,015,015,1
007_0036,007,011,0
013_0008,013,013,1
009_0293,009,009,1
013_0010,013,013,1
001_0157,001,001,1
004_0263,004,004,1
013_0064,013,013,1
000_0198,000,000,1
015_0077,015,006,0
003_0026,003,003,1
003_0210,003,003,1
005_0147,005,005,1
006_0191,006,012,0
004_0100,004,004,1
012_0049,012,012,1
013_0115,013,013,1
000_0011,000,000,1
002_0073,002,002,1
011_0163,011,011,1
008_0135,008,008,1
009_0230,009,009,1
013_0225,013,013,1
009_0244,009,009,1
007_0210,007,007,1
009_0220,009,009,1
002_0209,002,002,1
003_0072,003,003,1
006_0218,006,006,1
007_0287,007,007,1
013_0308,013,013,1
005_0099,005,005,1
005_0257,005,005,1
015_0137,015,015,1
008_0159,008,008,1
002_0107,002,002,1
010_0230,010,010,1
015_0276,015,015,1
007_0340,007,007,1
001_0193,001,001,1
010_0148,010,010,1
012_0142,012,012,1
006_0162,006,006,1
004_0091,004,004,1
005_0071,005,005,1
002_0097,002,002,1
009_0158,009,009,1
008_0067,008,000,0
006_0043,006,006,1
005_0050,005,005,1
003_0182,003,003,1
002_0109,002,002,1
011_0171,011,011,1
008_0147,008,008,1
003_0122,003,010,0
001_0071,001,002,0
002_0052,002,001,0
000_0009,000,000,1
010_0221,010,010,1
005_0290,005,005,1
007_0359,007,007,1
015_0267,015,015,1
005_0131,005,005,1
003_0160,003,003,1
007_0180,007,007,1
012_0252,012,012,1
004_0269,004,004,1
008_0140,008,009,0
006_0046,006,012,0
001_0134,001,001,1
008_0089,008,008,1
005_0186,005,004,0
001_0156,001,010,0
002_0203,002,002,1
007_0380,007,007,1
003_0100,003,003,1
009_0061,009,009,1
011_0145,011,011,1
005_0046,005,005,1
007_0181,007,007,1
000_0023,000,000,1
013_0051,013,013,1
013_0168,013,013,1
015_0241,015,015,1
004_0134,004,004,1
005_0146,005,005,1
007_0077,007,007,1
009_0288,009,009,1
000_0184,000,000,1
007_0017,007,007,1
003_0194,003,003,1
010_0105,010,010,1
010_0311,010,010,1
002_0215,002,002,1
000_0102,000,002,0
000_0112,000,000,1
012_0282,012,012,1
001_0146,001,010,0
015_0156,015,015,1
003_0162,003,003,1
012_0024,012,012,1
010_0063,010,010,1
009_0098,009,009,1
009_0296,009,009,1
015_0234,015,015,1
010_0271,010,010,1
013_0088,013,013,1
010_0202,010,010,1
004_0041,004,004,1
002_0032,002,002,1
002_0074,002,002,1
011_0197,011,011,1
004_0220,004,011,0
007_0161,007,007,1
015_0291,015,015,1
001_0095,001,001,1
004_0097,004,011,0
008_0187,008,008,1
001_0054,001,001,1
015_0090,015,015,1
007_0350,007,007,1
004_0214,004,004,1
005_0144,005,005,1
008_0251,008,008,1
006_0019,006,006,1
013_0138,013,013,1
012_0032,012,012,1
013_0134,013,013,1
002_0181,002,002,1
015_0126,015,015,1
009_0052,009,009,1
015_0121,015,015,1
013_0198,013,013,1
013_0298,013,013,1
015_0228,015,015,1
001_0140,001,001,1
009_0120,009,009,1
004_0190,004,004,1
013_0292,013,013,1
012_0278,012,012,1
004_0165,004,011,0
006_0148,006,006,1
002_0249,002,002,1
009_0127,009,009,1
007_0163,007,007,1
012_0227,012,012,1
010_0131,010,010,1
005_0180,005,005,1
003_0060,003,003,1
000_0034,000,000,1
008_0170,008,008,1
000_0213,000,000,1
012_0244,012,012,1
003_0218,003,003,1
012_0223,012,012,1
008_0267,008,008,1
004_0186,004,004,1
005_0084,005,005,1
010_0010,010,010,1
003_0086,003,003,1
010_0258,010,010,1
008_0114,008,013,0
013_0166,013,013,1
003_0080,003,003,1
013_0089,013,013,1
011_0228,011,011,1
011_0183,011,011,1
002_0016,002,002,1
009_0221,009,009,1
008_0073,008,008,1
012_0108,012,006,0
007_0332,007,007,1
012_0280,012,012,1
008_0004,008,008,1
009_0154,009,009,1
001_0043,001,002,0
009_0105,009,009,1
006_0087,006,006,1
001_0070,001,002,0
007_0021,007,007,1
011_0087,011,011,1
010_0237,010,010,1
010_0266,010,010,1
011_0180,011,011,1
006_0079,006,006,1
008_0262,008,008,1
003_0089,003,003,1
001_0035,001,001,1
006_0154,006,006,1
004_0011,004,004,1
008_0100,008,009,0
008_0016,008,009,0
004_0085,004,004,1
004_0152,004,004,1
004_0102,004,004,1
008_0271,008,008,1
010_0304,010,010,1
007_0345,007,007,1
015_0308,015,015,1
012_0150,012,015,0
002_0256,002,002,1
005_0262,005,005,1
009_0142,009,009,1
013_0313,013,013,1
011_0063,011,011,1
005_0284,005,005,1
008_0241,008,012,0
002_0012,002,002,1
000_0137,000,000,1
009_0067,009,009,1
013_0062,013,013,1
013_0257,013,013,1
008_0047,008,009,0
003_0185,003,003,1
013_0058,013,013,1
004_0050,004,004,1
013_0044,013,013,1
015_0242,015,015,1
004_0225,004,010,0
007_0167,007,007,1
008_0161,008,008,1
005_0164,005,005,1
015_0133,015,015,1
008_0210,008,008,1
009_0257,009,009,1
013_0080,013,013,1
003_0132,003,003,1
010_0077,010,010,1
005_0160,005,005,1
002_0101,002,002,1
003_0023,003,003,1
010_0209,010,010,1
006_0152,006,013,0
012_0120,012,012,1
008_0074,008,008,1
010_0067,010,010,1
008_0295,008,008,1
003_0166,003,003,1
008_0180,008,009,0
011_0157,011,011,1
004_0032,004,011,0
010_0253,010,010,1
009_0005,009,009,1
007_0271,007,007,1
006_0035,006,007,0
008_0104,008,008,1
005_0145,005,005,1
006_0246,006,006,1
002_0081,002,002,1
006_0047,006,012,0
012_0180,012,012,1
013_0061,013,013,1
000_0208,000,000,1
001_0090,001,001,1
013_0196,013,013,1
008_0031,008,008,1
013_0245,013,013,1
006_0022,006,006,1
008_0194,008,009,0
002_0007,002,002,1
005_0016,005,011,0
015_0112,015,015,1
006_0172,006,012,0
002_0175,002,002,1
015_0128,015,015,1
007_0282,007,007,1
009_0059,009,009,1
007_0039,007,007,1
005_0176,005,005,1
008_0188,008,008,1
007_0197,007,007,1
012_0009,012,012,1
008_0208,008,009,0
006_0018,006,006,1
009_0292,009,009,1
008_0237,008,008,1
006_0204,006,006,1
006_0057,006,012,0
004_0141,004,004,1
005_0292,005,005,1
008_0225,008,008,1
003_0118,003,003,1
002_0011,002,002,1
015_0067,015,015,1
007_0199,007,007,1
000_0117,000,003,0
015_0270,015,015,1
000_0056,000,000,1
001_0089,001,001,1
013_0013,013,007,0
005_0213,005,005,1
001_0128,001,010,0
001_0132,001,001,1
007_0049,007,007,1
011_0144,011,011,1
015_0225,015,015,1
000_0059,000,000,1
005_0009,005,011,0
011_0100,011,011,1
000_0052,000,000,1
004_0247,004,011,0
008_0015,008,008,1
010_0110,010,010,1
002_0088,002,002,1
004_0005,004,004,1
009_0133,009,009,1
013_0249,013,013,1
013_0282,013,013,1
006_0241,006,012,0
009_0112,009,009,1
006_0230,006,006,1
013_0101,013,013,1
010_0005,010,010,1
004_0139,004,004,1
015_0258,015,015,1
011_0229,011,011,1
013_0247,013,013,1
011_0041,011,011,1
009_0191,009,009,1
012_0224,012,012,1
006_0092,006,006,1
001_0008,001,001,1
004_0025,004,004,1
012_0111,012,011,0
015_0238,015,015,1
015_0056,015,015,1
000_0224,000,000,1
012_0117,012,011,0
013_0067,013,013,1
004_0042,004,004,1
000_0161,000,000,1
006_0021,006,006,1
007_0323,007,007,1
007_0276,007,007,1
001_0148,001,001,1
002_0147,002,002,1
003_0099,003,003,1
015_0260,015,015,1
013_0107,013,011,0
009_0004,009,009,1
015_0073,015,015,1
007_0319,007,013,0
015_0193,015,015,1
008_0260,008,008,1
007_0315,007,007,1
013_0016,013,015,0
008_0151,008,008,1
007_0364,007,007,1
010_0177,010,010,1
002_0219,002,002,1
009_0118,009,009,1
003_0091,003,003,1
002_0229,002,002,1
015_0220,015,015,1
011_0075,011,011,1
003_0057,003,003,1
009_0039,009,009,1
003_0208,003,003,1
015_0216,015,015,1
010_0144,010,010,1
007_0035,007,007,1
008_0030,008,008,1
010_0123,010,010,1
006_0184,006,012,0
015_0184,015,015,1
010_0113,010,010,1
001_0207,001,001,1
002_0177,002,002,1
008_0209,008,009,0
001_0109,001,011,0
003_0174,003,003,1
013_0183,013,013,1
013_0152,013,013,1
001_0187,001,001,1
000_0017,000,000,1
008_0169,008,008,1
010_0139,010,010,1
011_0142,011,011,1
000_0186,000,000,1
008_0206,008,008,1
005_0210,005,005,1
006_0026,006,012,0
005_0082,005,005,1
004_0060,004,004,1
004_0014,004,004,1
005_0291,005,005,1
004_0160,004,004,1
006_0169,006,006,1
013_0031,013,013,1
015_0062,015,015,1
010_0300,010,010,1
012_0085,012,012,1
008_0083,008,008,1
000_0048,000,000,1
002_0077,002,002,1
012_0206,012,012,1
012_0156,012,012,1
013_0218,013,013,1
000_0160,000,000,1
009_0297,009,009,1
010_0134,010,010,1
005_0268,005,005,1
001_0005,001,001,1
006_0020,006,012,0
000_0191,000,000,1
005_0159,005,005,1
000_0003,000,000,1
011_0067,011,004,0
001_0155,001,001,1
011_0136,011,011,1
011_0155,011,011,1
008_0099,008,009,0
000_0168,000,000,1
006_0217,006,006,1
009_0251,009,009,1
015_0093,015,015,1
001_0100,001,001,1
005_0183,005,005,1
012_0076,012,012,1
010_0279,010,010,1
012_0073,012,012,1
002_0212,002,002,1
012_0197,012,012,1
008_0003,008,008,1
000_0231,000,000,1
010_0171,010,010,1
010_0200,010,010,1
012_0162,012,006,0
005_0232,005,005,1
005_0008,005,011,0
006_0211,006,006,1
015_0219,015,015,1
007_0334,007,007,1
006_0219,006,006,1
007_0360,007,007,1
007_0211,007,007,1
001_0195,001,001,1
011_0032,011,011,1
012_0057,012,012,1
002_0132,002,002,1
013_0284,013,013,1
012_0109,012,012,1
011_0225,011,011,1
012_0051,012,012,1
011_0065,011,011,1
