source_row,movimiento,repeticion_id,ventana,fold
98,000,000_0013,3,5
99,000,000_0013,4,5
100,000,000_0013,5,5
101,000,000_0013,6,5
102,000,000_0013,7,5
103,000,000_0013,8,5
104,000,000_0014,1,4
105,000,000_0014,2,4
106,000,000_0014,3,4
107,000,000_0014,4,4
108,000,000_0014,5,4
109,000,000_0014,6,4
110,000,000_0014,7,4
111,000,000_0014,8,4
112,000,000_0015,1,3
113,000,000_0015,2,3
114,000,000_0015,3,3
115,000,000_0015,4,3
116,000,000_0015,5,3
117,000,000_0015,6,3
118,000,000_0015,7,3
119,000,000_0015,8,3
120,000,000_0016,1,2
121,000,000_0016,2,2
122,000,000_0016,3,2
123,000,000_0016,4,2
124,000,000_0016,5,2
125,000,000_0016,6,2
126,000,000_0016,7,2
127,000,000_0016,8,2
128,000,000_0017,1,1
129,000,000_0017,2,1
130,000,000_0017,3,1
131,000,000_0017,4,1
132,000,000_0017,5,1
133,000,000_0017,6,1
134,000,000_0017,7,1
135,000,000_0017,8,1
136,000,000_0018,1,5
137,000,000_0018,2,5
138,000,000_0018,3,5
139,000,000_0018,4,5
140,000,000_0018,5,5
141,000,000_0018,6,5
142,000,000_0018,7,5
143,000,000_0018,8,5
144,000,000_0019,1,4
145,000,000_0019,2,4
146,000,000_0019,3,4
147,000,000_0019,4,4
148,000,000_0019,5,4
149,000,000_0019,6,4
150,000,000_0019,7,4
151,000,000_0019,8,4
152,000,000_0020,1,3
153,000,000_0020,2,3
154,000,000_0020,3,3
155,000,000_0020,4,3
156,000,000_0020,5,3
157,000,000_0020,6,3
158,000,000_0020,7,3
159,000,000_0020,8,3
160,000,000_0021,1,2
161,000,000_0021,2,2
162,000,000_0021,3,2
163,000,000_0021,4,2
164,000,000_0021,5,2
165,000,000_0021,6,2
166,000,000_0021,7,2
167,000,000_0021,8,2
168,000,000_0022,1,1
169,000,000_0022,2,1
170,000,000_0022,3,1
171,000,000_0022,4,1
172,000,000_0022,5,1
173,000,000_0022,6,1
174,000,000_0022,7,1
175,000,000_0022,8,1
176,000,000_0023,1,5
177,000,000_0023,2,5
178,000,000_0023,3,5
179,000,000_0023,4,5
180,000,000_0023,5,5
181,000,000_0023,6,5
182,000,000_0023,7,5
183,000,000_0023,8,5
184,000,000_0024,1,4
185,000,000_0024,2,4
186,000,000_0024,3,4
187,000,000_0024,4,4
188,000,000_0024,5,4
189,000,000_0024,6,4
190,000,000_0024,7,4
191,000,000_0024,8,4
192,000,000_0025,1,3
193,000,000_0025,2,3
194,000,000_0025,3,3
195,000,000_0025,4,3
196,000,000_0025,5,3
197,000,000_0025,6,3
198,000,000_0025,7,3
199,000,000_0025,8,3
200,000,000_0026,1,2
201,000,000_0026,2,2
202,000,000_0026,3,2
203,000,000_0026,4,2
204,000,000_0026,5,2
205,000,000_0026,6,2
206,000,000_0026,7,2
207,000,000_0026,8,2
208,000,000_0027,1,1
209,000,000_0027,2,1
210,000,000_0027,3,1
211,000,000_0027,4,1
212,000,000_0027,5,1
213,000,000_0027,6,1
214,000,000_0027,7,1
215,000,000_0027,8,1
216,000,000_0028,1,5
217,000,000_0028,2,5
218,000,000_0028,3,5
219,000,000_0028,4,5
220,000,000_0028,5,5
221,000,000_0028,6,5
222,000,000_0028,7,5
223,000,000_0028,8,5
224,000,000_0029,1,4
225,000,000_0029,2,4
226,000,000_0029,3,4
227,000,000_0029,4,4
228,000,000_0029,5,4
229,000,000_0029,6,4
230,000,000_0029,7,4
231,000,000_0029,8,4
232,000,000_0030,1,3
233,000,000_0030,2,3
234,000,000_0030,3,3
235,000,000_0030,4,3
236,000,000_0030,5,3
237,000,000_0030,6,3
238,000,000_0030,7,3
239,000,000_0030,8,3
240,000,000_0031,1,2
241,000,000_0031,2,2
242,000,000_0031,3,2
243,000,000_0031,4,2
244,000,000_0031,5,2
245,000,000_0031,6,2
246,000,000_0031,7,2
247,000,000_0031,8,2
248,000,000_0032,1,1
249,000,000_0032,2,1
250,000,000_0032,3,1
251,000,000_0032,4,1
252,000,000_0032,5,1
253,000,000_0032,6,1
254,000,000_0032,7,1
255,000,000_0032,8,1
256,000,000_0033,1,5
257,000,000_0033,2,5
258,000,000_0033,3,5
259,000,000_0033,4,5
260,000,000_0033,5,5
261,000,000_0033,6,5
262,000,000_0033,7,5
263,000,000_0033,8,5
264,000,000_0034,1,4
265,000,000_0034,2,4
266,000,000_0034,3,4
267,000,000_0034,4,4
268,000,000_0034,5,4
269,000,000_0034,6,4
270,000,000_0034,7,4
271,000,000_0034,8,4
272,000,000_0035,1,3
273,000,000_0035,2,3
274,000,000_0035,3,3
275,000,000_0035,4,3
276,000,000_0035,5,3
277,000,000_0035,6,3
278,000,000_0035,7,3
279,000,000_0035,8,3
280,000,000_0036,1,2
281,000,000_0036,2,2
282,000,000_0036,3,2
283,000,000_0036,4,2
284,000,000_0036,5,2
285,000,000_0036,6,2
286,000,000_0036,7,2
287,000,000_0036,8,2
288,000,000_0037,1,1
289,000,000_0037,2,1
290,000,000_0037,3,1
291,000,000_0037,4,1
292,000,000_0037,5,1
293,000,000_0037,6,1
294,000,000_0037,7,1
295,000,000_0037,8,1
296,000,000_0038,1,5
297,000,000_0038,2,5
298,000,000_0038,3,5
299,000,000_0038,4,5
300,000,000_0038,5,5
301,000,000_0038,6,5
302,000,000_0038,7,5
303,000,000_0038,8,5
304,000,000_0039,1,4
305,000,000_0039,2,4
306,000,000_0039,3,4
307,000,000_0039,4,4
308,000,000_0039,5,4
309,000,000_0039,6,4
310,000,000_0039,7,4
311,000,000_0039,8,4
312,000,000_0040,1,3
313,000,000_0040,2,3
314,000,000_0040,3,3
315,000,000_0040,4,3
316,000,000_0040,5,3
317,000,000_0040,6,3
318,000,000_0040,7,3
319,000,000_0040,8,3
320,000,000_0041,1,2
321,000,000_0041,2,2
322,000,000_0041,3,2
323,000,000_0041,4,2
324,000,000_0041,5,2
325,000,000_0041,6,2
326,000,000_0041,7,2
327,000,000_0041,8,2
328,000,000_0042,1,1
329,000,000_0042,2,1
330,000,000_0042,3,1
331,000,000_0042,4,1
332,000,000_0042,5,1
333,000,000_0042,6,1
334,000,000_0042,7,1
335,000,000_0042,8,1
336,000,000_0043,1,5
337,000,000_0043,2,5
338,000,000_0043,3,5
339,000,000_0043,4,5
340,000,000_0043,5,5
341,000,000_0043,6,5
342,000,000_0043,7,5
343,000,000_0043,8,5
344,000,000_0044,1,4
345,000,000_0044,2,4
346,000,000_0044,3,4
347,000,000_0044,4,4
348,000,000_0044,5,4
349,000,000_0044,6,4
350,000,000_0044,7,4
351,000,000_0044,8,4
352,000,000_0045,1,3
353,000,000_0045,2,3
354,000,000_0045,3,3
355,000,000_0045,4,3
356,000,000_0045,5,3
357,000,000_0045,6,3
358,000,000_0045,7,3
359,000,000_0045,8,3
360,000,000_0046,1,2
361,000,000_0046,2,2
362,000,000_0046,3,2
363,000,000_0046,4,2
364,000,000_0046,5,2
365,000,000_0046,6,2
366,000,000_0046,7,2
367,000,000_0046,8,2
368,000,000_0047,1,1
369,000,000_0047,2,1
370,000,000_0047,3,1
371,000,000_0047,4,1
372,000,000_0047,5,1
373,000,000_0047,6,1
374,000,000_0047,7,1
375,000,000_0047,8,1
376,000,000_0048,1,5
377,000,000_0048,2,5
378,000,000_0048,3,5
379,000,000_0048,4,5
380,000,000_0048,5,5
381,000,000_0048,6,5
382,000,000_0048,7,5
383,000,000_0048,8,5
384,000,000_0049,1,4
385,000,000_0049,2,4
386,000,000_0049,3,4
387,000,000_0049,4,4
388,000,000_0049,5,4
389,000,000_0049,6,4
390,000,000_0049,7,4
391,000,000_0049,8,4
392,000,000_0050,1,3
393,000,000_0050,2,3
394,000,000_0050,3,3
395,000,000_0050,4,3
396,000,000_0050,5,3
397,000,000_0050,6,3
398,000,000_0050,7,3
399,000,000_0050,8,3
400,000,000_0051,1,2
401,000,000_0051,2,2
402,000,000_0051,3,2
403,000,000_0051,4,2
404,000,000_0051,5,2
405,000,000_0051,6,2
406,000,000_0051,7,2
407,000,000_0051,8,2
408,000,000_0052,1,1
409,000,000_0052,2,1
410,000,000_0052,3,1
411,000,000_0052,4,1
412,000,000_0052,5,1
413,000,000_0052,6,1
414,000,000_0052,7,1
415,000,000_0052,8,1
416,000,000_0053,1,5
417,000,000_0053,2,5
418,000,000_0053,3,5
419,000,000_0053,4,5
420,000,000_0053,5,5
421,000,000_0053,6,5
422,000,000_0053,7,5
423,000,000_0053,8,5
424,000,000_0054,1,4
425,000,000_0054,2,4
426,000,000_0054,3,4
427,000,000_0054,4,4
428,000,000_0054,5,4
429,000,000_0054,6,4
430,000,000_0054,7,4
431,000,000_0054,8,4
432,000,000_0055,1,3
433,000,000_0055,2,3
434,000,000_0055,3,3
435,000,000_0055,4,3
436,000,000_0055,5,3
437,000,000_0055,6,3
438,000,000_0055,7,3
439,000,000_0055,8,3
440,000,000_0056,1,2
441,000,000_0056,2,2
442,000,000_0056,3,2
443,000,000_0056,4,2
444,000,000_0056,5,2
445,000,000_0056,6,2
446,000,000_0056,7,2
447,000,000_0056,8,2
448,000,000_0057,1,1
449,000,000_0057,2,1
450,000,000_0057,3,1
451,000,000_0057,4,1
452,000,000_0057,5,1
453,000,000_0057,6,1
454,000,000_0057,7,1
455,000,000_0057,8,1
456,000,000_0058,1,5
457,000,000_0058,2,5
458,000,000_0058,3,5
459,000,000_0058,4,5
460,000,000_0058,5,5
461,000,000_0058,6,5
462,000,000_0058,7,5
463,000,000_0058,8,5
464,000,000_0059,1,4
465,000,000_0059,2,4
466,000,000_0059,3,4
467,000,000_0059,4,4
468,000,000_0059,5,4
469,000,000_0059,6,4
470,000,000_0059,7,4
471,000,000_0059,8,4
472,000,000_0060,1,3
473,000,000_0060,2,3
474,000,000_0060,3,3
475,000,000_0060,4,3
476,000,000_0060,5,3
477,000,000_0060,6,3
478,000,000_0060,7,3
479,000,000_0060,8,3
480,000,000_0061,1,2
481,000,000_0061,2,2
482,000,000_0061,3,2
483,000,000_0061,4,2
484,000,000_0061,5,2
485,000,000_0061,6,2
486,000,000_0061,7,2
487,000,000_0061,8,2
488,000,000_0062,1,1
489,000,000_0062,2,1
490,000,000_0062,3,1
491,000,000_0062,4,1
492,000,000_0062,5,1
493,000,000_0062,6,1
494,000,000_0062,7,1
495,000,000_0062,8,1
496,000,000_0063,1,5
497,000,000_0063,2,5
498,000,000_0063,3,5
499,000,000_0063,4,5
500,000,000_0063,5,5
501,000,000_0063,6,5
502,000,000_0063,7,5
503,000,000_0063,8,5
504,000,000_0064,1,4
505,000,000_0064,2,4
506,000,000_0064,3,4
507,000,000_0064,4,4
508,000,000_0064,5,4
509,000,000_0064,6,4
510,000,000_0064,7,4
511,000,000_0064,8,4
512,000,000_0065,1,3
513,000,000_0065,2,3
514,000,000_0065,3,3
515,000,000_0065,4,3
516,000,000_0065,5,3
517,000,000_0065,6,3
518,000,000_0065,7,3
519,000,000_0065,8,3
520,000,000_0066,1,2
521,000,000_0066,2,2
522,000,000_0066,3,2
523,000,000_0066,4,2
524,000,000_0066,5,2
525,000,000_0066,6,2
526,000,000_0066,7,2
527,000,000_0066,8,2
528,000,000_0067,1,1
529,000,000_0067,2,1
530,000,000_0067,3,1
531,000,000_0067,4,1
532,000,000_0067,5,1
533,000,000_0067,6,1
534,000,000_0067,7,1
535,000,000_0067,8,1
536,000,000_0068,1,5
537,000,000_0068,2,5
538,000,000_0068,3,5
539,000,000_0068,4,5
540,000,000_0068,5,5
541,000,000_0068,6,5
542,000,000_0068,7,5
543,000,000_0068,8,5
544,000,000_0069,1,4
545,000,000_0069,2,4
546,000,000_0069,3,4
547,000,000_0069,4,4
548,000,000_0069,5,4
549,000,000_0069,6,4
550,000,000_0069,7,4
551,000,000_0069,8,4
552,000,000_0070,1,3
553,000,000_0070,2,3
554,000,000_0070,3,3
555,000,000_0070,4,3
556,000,000_0070,5,3
557,000,000_0070,6,3
558,000,000_0070,7,3
559,000,000_0070,8,3
560,000,000_0071,1,2
561,000,000_0071,2,2
562,000,000_0071,3,2
563,000,000_0071,4,2
564,000,000_0071,5,2
565,000,000_0071,6,2
566,000,000_0071,7,2
567,000,000_0071,8,2
568,000,000_0072,1,1
569,000,000_0072,2,1
570,000,000_0072,3,1
571,000,000_0072,4,1
572,000,000_0072,5,1
573,000,000_0072,6,1
574,000,000_0072,7,1
575,000,000_0072,8,1
576,000,000_0073,1,5
577,000,000_0073,2,5
578,000,000_0073,3,5
579,000,000_0073,4,5
580,000,000_0073,5,5
581,000,000_0073,6,5
582,000,000_0073,7,5
583,000,000_0073,8,5
584,000,000_0074,1,4
585,000,000_0074,2,4
586,000,000_0074,3,4
587,000,000_0074,4,4
588,000,000_0074,5,4
589,000,000_0074,6,4
590,000,000_0074,7,4
591,000,000_0074,8,4
592,000,000_0075,1,3
593,000,000_0075,2,3
594,000,000_0075,3,3
595,000,000_0075,4,3
596,000,000_0075,5,3
597,000,000_0075,6,3
598,000,000_0075,7,3
599,000,000_0075,8,3
600,000,000_0076,1,2
601,000,000_0076,2,2
602,000,000_0076,3,2
603,000,000_0076,4,2
604,000,000_0076,5,2
605,000,000_0076,6,2
606,000,000_0076,7,2
607,000,000_0076,8,2
608,000,000_0077,1,1
609,000,000_0077,2,1
610,000,000_0077,3,1
611,000,000_0077,4,1
612,000,000_0077,5,1
613,000,000_0077,6,1
614,000,000_0077,7,1
615,000,000_0077,8,1
616,000,000_0078,1,5
617,000,000_0078,2,5
618,000,000_0078,3,5
619,000,000_0078,4,5
620,000,000_0078,5,5
621,000,000_0078,6,5
622,000,000_0078,7,5
623,000,000_0078,8,5
624,000,000_0079,1,4
625,000,000_0079,2,4
626,000,000_0079,3,4
627,000,000_0079,4,4
628,000,000_0079,5,4
629,000,000_0079,6,4
630,000,000_0079,7,4
631,000,000_0079,8,4
632,000,000_0080,1,3
633,000,000_0080,2,3
634,000,000_0080,3,3
635,000,000_0080,4,3
636,000,000_0080,5,3
637,000,000_0080,6,3
638,000,000_0080,7,3
639,000,000_0080,8,3
640,000,000_0081,1,2
641,000,000_0081,2,2
642,000,000_0081,3,2
643,000,000_0081,4,2
644,000,000_0081,5,2
645,000,000_0081,6,2
646,000,000_0081,7,2
647,000,000_0081,8,2
648,000,000_0082,1,1
649,000,000_0082,2,1
650,000,000_0082,3,1
651,000,000_0082,4,1
652,000,000_0082,5,1
653,000,000_0082,6,1
654,000,000_0082,7,1
655,000,000_0082,8,1
656,000,000_0083,1,5
657,000,000_0083,2,5
658,000,000_0083,3,5
659,000,000_0083,4,5
660,000,000_0083,5,5
661,000,000_0083,6,5
662,000,000_0083,7,5
663,000,000_0083,8,5
664,000,000_0084,1,4
665,000,000_0084,2,4
666,000,000_0084,3,4
667,000,000_0084,4,4
668,000,000_0084,5,4
669,000,000_0084,6,4
670,000,000_0084,7,4
671,000,000_0084,8,4
672,000,000_0085,1,3
673,000,000_0085,2,3
674,000,000_0085,3,3
675,000,000_0085,4,3
676,000,000_0085,5,3
677,000,000_0085,6,3
678,000,000_0085,7,3
679,000,000_0085,8,3
680,000,000_0086,1,2
681,000,000_0086,2,2
682,000,000_0086,3,2
683,000,000_0086,4,2
684,000,000_0086,5,2
685,000,000_0086,6,2
686,000,000_0086,7,2
687,000,000_0086,8,2
688,000,000_0087,1,1
689,000,000_0087,2,1
690,000,000_0087,3,1
691,000,000_0087,4,1
692,000,000_0087,5,1
693,000,000_0087,6,1
694,000,000_0087,7,1
695,000,000_0087,8,1
696,000,000_0088,1,5
697,000,000_0088,2,5
698,000,000_0088,3,5
699,000,000_0088,4,5
700,000,000_0088,5,5
701,000,000_0088,6,5
702,000,000_0088,7,5
703,000,000_0088,8,5
704,000,000_0089,1,4
705,000,000_0089,2,4
706,000,000_0089,3,4
707,000,000_0089,4,4
708,000,000_0089,5,4
709,000,000_0089,6,4
710,000,000_0089,7,4
711,000,000_0089,8,4
712,000,000_0090,1,3
713,000,000_0090,2,3
714,000,000_0090,3,3
715,000,000_0090,4,3
716,000,000_0090,5,3
717,000,000_0090,6,3
718,000,000_0090,7,3
719,000,000_0090,8,3
720,000,000_0091,1,2
721,000,000_0091,2,2
722,000,000_0091,3,2
723,000,000_0091,4,2
724,000,000_0091,5,2
725,000,000_0091,6,2
726,000,000_0091,7,2
727,000,000_0091,8,2
728,000,000_0092,1,1
729,000,000_0092,2,1
730,000,000_0092,3,1
731,000,000_0092,4,1
732,000,000_0092,5,1
733,000,000_0092,6,1
734,000,000_0092,7,1
735,000,000_0092,8,1
736,000,000_0093,1,5
737,000,000_0093,2,5
738,000,000_0093,3,5
739,000,000_0093,4,5
740,000,000_0093,5,5
741,000,000_0093,6,5
742,000,000_0093,7,5
743,000,000_0093,8,5
744,000,000_0094,1,4
745,000,000_0094,2,4
746,000,000_0094,3,4
747,000,000_0094,4,4
748,000,000_0094,5,4
749,000,000_0094,6,4
750,000,000_0094,7,4
751,000,000_0094,8,4
752,000,000_0095,1,3
753,000,000_0095,2,3
754,000,000_0095,3,3
755,000,000_0095,4,3
756,000,000_0095,5,3
757,000,000_0095,6,3
758,000,000_0095,7,3
759,000,000_0095,8,3
760,000,000_0096,1,2
761,000,000_0096,2,2
762,000,000_0096,3,2
763,000,000_0096,4,2
764,000,000_0096,5,2
765,000,000_0096,6,2
766,000,000_0096,7,2
767,000,000_0096,8,2
768,000,000_0097,1,1
769,000,000_0097,2,1
770,000,000_0097,3,1
771,000,000_0097,4,1
772,000,000_0097,5,1
773,000,000_0097,6,1
774,000,000_0097,7,1
775,000,000_0097,8,1
776,000,000_0098,1,5
777,000,000_0098,2,5
778,000,000_0098,3,5
779,000,000_0098,4,5
780,000,000_0098,5,5
781,000,000_0098,6,5
782,000,000_0098,7,5
783,000,000_0098,8,5
784,000,000_0099,1,4
785,000,000_0099,2,4
786,000,000_0099,3,4
787,000,000_0099,4,4
788,000,000_0099,5,4
789,000,000_0099,6,4
790,000,000_0099,7,4
791,000,000_0099,8,4
792,000,000_0100,1,3
793,000,000_0100,2,3
794,000,000_0100,3,3
795,000,000_0100,4,3
796,000,000_0100,5,3
797,000,000_0100,6,3
798,000,000_0100,7,3
799,000,000_0100,8,3
800,000,000_0101,1,2
801,000,000_0101,2,2
802,000,000_0101,3,2
803,000,000_0101,4,2
804,000,000_0101,5,2
805,000,000_0101,6,2
806,000,000_0101,7,2
807,000,000_0101,8,2
808,000,000_0102,1,1
809,000,000_0102,2,1
810,000,000_0102,3,1
811,000,000_0102,4,1
812,000,000_0102,5,1
813,000,000_0102,6,1
814,000,000_0102,7,1
815,000,000_0102,8,1
816,000,000_0103,1,5
817,000,000_0103,2,5
818,000,000_0103,3,5
819,000,000_0103,4,5
820,000,000_0103,5,5
821,000,000_0103,6,5
822,000,000_0103,7,5
823,000,000_0103,8,5
824,000,000_0104,1,4
825,000,000_0104,2,4
826,000,000_0104,3,4
827,000,000_0104,4,4
828,000,000_0104,5,4
829,000,000_0104,6,4
830,000,000_0104,7,4
831,000,000_0104,8,4
832,000,000_0105,1,3
833,000,000_0105,2,3
834,000,000_0105,3,3
835,000,000_0105,4,3
836,000,000_0105,5,3
837,000,000_0105,6,3
838,000,000_0105,7,3
839,000,000_0105,8,3
840,000,000_0106,1,2
841,000,000_0106,2,2
842,000,000_0106,3,2
843,000,000_0106,4,2
844,000,000_0106,5,2
845,000,000_0106,6,2
846,000,000_0106,7,2
847,000,000_0106,8,2
848,000,000_0107,1,1
849,000,000_0107,2,1
850,000,000_0107,3,1
851,000,000_0107,4,1
852,000,000_0107,5,1
853,000,000_0107,6,1
854,000,000_0107,7,1
855,000,000_0107,8,1
856,000,000_0108,1,5
857,000,000_0108,2,5
858,000,000_0108,3,5
859,000,000_0108,4,5
860,000,000_0108,5,5
861,000,000_0108,6,5
862,000,000_0108,7,5
863,000,000_0108,8,5
864,000,000_0109,1,4
865,000,000_0109,2,4
866,000,000_0109,3,4
867,000,000_0109,4,4
868,000,000_0109,5,4
869,000,000_0109,6,4
870,000,000_0109,7,4
871,000,000_0109,8,4
872,000,000_0110,1,3
873,000,000_0110,2,3
874,000,000_0110,3,3
875,000,000_0110,4,3
876,000,000_0110,5,3
877,000,000_0110,6,3
878,000,000_0110,7,3
879,000,000_0110,8,3
880,000,000_0111,1,2
881,000,000_0111,2,2
882,000,000_0111,3,2
883,000,000_0111,4,2
884,000,000_0111,5,2
885,000,000_0111,6,2
886,000,000_0111,7,2
887,000,000_0111,8,2
888,000,000_0112,1,1
889,000,000_0112,2,1
890,000,000_0112,3,1
891,000,000_0112,4,1
892,000,000_0112,5,1
893,000,000_0112,6,1
894,000,000_0112,7,1
895,000,000_0112,8,1
896,000,000_0113,1,5
897,000,000_0113,2,5
898,000,000_0113,3,5
899,000,000_0113,4,5
900,000,000_0113,5,5
901,000,000_0113,6,5
902,000,000_0113,7,5
903,000,000_0113,8,5
904,000,000_0114,1,4
905,000,000_0114,2,4
906,000,000_0114,3,4
907,000,000_0114,4,4
908,000,000_0114,5,4
909,000,000_0114,6,4
910,000,000_0114,7,4
911,000,000_0114,8,4
912,000,000_0115,1,3
913,000,000_0115,2,3
914,000,000_0115,3,3
915,000,000_0115,4,3
916,000,000_0115,5,3
917,000,000_0115,6,3
918,000,000_0115,7,3
919,000,000_0115,8,3
920,000,000_0116,1,2
921,000,000_0116,2,2
922,000,000_0116,3,2
923,000,000_0116,4,2
924,000,000_0116,5,2
925,000,000_0116,6,2
926,000,000_0116,7,2
927,000,000_0116,8,2
928,000,000_0117,1,1
929,000,000_0117,2,1
930,000,000_0117,3,1
931,000,000_0117,4,1
932,000,000_0117,5,1
933,000,000_0117,6,1
934,000,000_0117,7,1
935,000,000_0117,8,1
936,000,000_0118,1,5
937,000,000_0118,2,5
938,000,000_0118,3,5
939,000,000_0118,4,5
940,000,000_0118,5,5
941,000,000_0118,6,5
942,000,000_0118,7,5
943,000,000_0118,8,5
944,000,000_0119,1,4
945,000,000_0119,2,4
946,000,000_0119,3,4
947,000,000_0119,4,4
948,000,000_0119,5,4
949,000,000_0119,6,4
950,000,000_0119,7,4
951,000,000_0119,8,4
952,000,000_0120,1,3
953,000,000_0120,2,3
954,000,000_0120,3,3
955,000,000_0120,4,3
956,000,000_0120,5,3
957,000,000_0120,6,3
958,000,000_0120,7,3
959,000,000_0120,8,3
960,000,000_0121,1,2
961,000,000_0121,2,2
962,000,000_0121,3,2
963,000,000_0121,4,2
964,000,000_0121,5,2
965,000,000_0121,6,2
966,000,000_0121,7,2
967,000,000_0121,8,2
968,000,000_0122,1,1
969,000,000_0122,2,1
970,000,000_0122,3,1
971,000,000_0122,4,1
972,000,000_0122,5,1
973,000,000_0122,6,1
974,000,000_0122,7,1
975,000,000_0122,8,1
976,000,000_0123,1,5
977,000,000_0123,2,5
978,000,000_0123,3,5
979,000,000_0123,4,5
980,000,000_0123,5,5
981,000,000_0123,6,5
982,000,000_0123,7,5
983,000,000_0123,8,5
984,000,000_0124,1,4
985,000,000_0124,2,4
986,000,000_0124,3,4
987,000,000_0124,4,4
988,000,000_0124,5,4
989,000,000_0124,6,4
990,000,000_0124,7,4
991,000,000_0124,8,4
992,000,000_0125,1,3
993,000,000_0125,2,3
994,000,000_0125,3,3
995,000,000_0125,4,3
996,000,000_0125,5,3
997,000,000_0125,6,3
998,000,000_0125,7,3
999,000,000_0125,8,3
1000,000,000_0126,1,2
1001,000,000_0126,2,2
1002,000,000_0126,3,2
1003,000,000_0126,4,2
1004,000,000_0126,5,2
1005,000,000_0126,6,2
1006,000,000_0126,7,2
1007,000,000_0126,8,2
1008,000,000_0127,1,1
1009,000,000_0127,2,1
1010,000,000_0127,3,1
1011,000,000_0127,4,1
1012,000,000_0127,5,1
1013,000,000_0127,6,1
1014,000,000_0127,7,1
1015,000,000_0127,8,1
1016,000,000_0128,1,5
1017,000,000_0128,2,5
1018,000,000_0128,3,5
1019,000,000_0128,4,5
1020,000,000_0128,5,5
1021,000,000_0128,6,5
1022,000,000_0128,7,5
1023,000,000_0128,8,5
1024,000,000_0129,1,4
1025,000,000_0129,2,4
1026,000,000_0129,3,4
1027,000,000_0129,4,4
1028,000,000_0129,5,4
1029,000,000_0129,6,4
1030,000,000_0129,7,4
1031,000,000_0129,8,4
1032,000,000_0130,1,3
1033,000,000_0130,2,3
1034,000,000_0130,3,3
1035,000,000_0130,4,3
1036,000,000_0130,5,3
1037,000,000_0130,6,3
1038,000,000_0130,7,3
1039,000,000_0130,8,3
1040,000,000_0131,1,2
1041,000,000_0131,2,2
1042,000,000_0131,3,2
1043,000,000_0131,4,2
1044,000,000_0131,5,2
1045,000,000_0131,6,2
1046,000,000_0131,7,2
1047,000,000_0131,8,2
1048,000,000_0132,1,1
1049,000,000_0132,2,1
1050,000,000_0132,3,1
1051,000,000_0132,4,1
1052,000,000_0132,5,1
1053,000,000_0132,6,1
1054,000,000_0132,7,1
1055,000,000_0132,8,1
1056,000,000_0133,1,5
1057,000,000_0133,2,5
1058,000,000_0133,3,5
1059,000,000_0133,4,5
1060,000,000_0133,5,5
1061,000,000_0133,6,5
1062,000,000_0133,7,5
1063,000,000_0133,8,5
1064,000,000_0134,1,4
1065,000,000_0134,2,4
1066,000,000_0134,3,4
1067,000,000_0134,4,4
